Lon,Lat,"PGA %g[Boore,2008]",Rup Dist(km)
100.09,12.95,0.05727937,238.0056748
100.14,12.95,0.055389002,240.3906575
100.19,12.95,0.053491347,242.8726958
100.24,12.95,0.051593957,245.4488452
100.29,12.95,0.049703833,248.1161744
100.34,12.95,0.047827402,250.8717751
100.39,12.95,0.045970515,253.712771
100.44,12.95,0.044138442,256.6363263
100.49,12.95,0.042335886,259.6396519
100.54,12.95,0.040566992,262.7200124
100.59,12.95,0.038835368,265.87473
100.64,12.95,0.037144108,269.1011898
100.69,12.95,0.035495821,272.3968424
100.74,12.95,0.033892656,275.7592071
100.79,12.95,0.032336338,279.1858735
100.84,12.95,0.030828193,282.6745033
100.89,12.95,0.029369187,286.2228305
100.94,12.95,0.027959951,289.8286628
100.99,12.95,0.026600819,293.4898805
101.04,12.95,0.025291853,297.2044369
101.09,12.95,0.024032872,300.9703569
97.14,13,0.024065198,300.8711238
97.19,13,0.025359707,297.0070249
97.24,13,0.026708883,293.1917463
97.29,13,0.028113305,289.4272187
97.34,13,0.029573331,285.7154483
97.39,13,0.031089063,282.0585178
97.44,13,0.032660313,278.4585879
97.49,13,0.034286571,274.9178976
97.54,13,0.035966969,271.4387653
97.59,13,0.037700242,268.0235882
97.64,13,0.039484695,264.6748418
97.69,13,0.041318159,261.3950795
97.74,13,0.043197961,258.1869301
97.79,13,0.045120883,255.053096
97.84,13,0.047083133,251.9963498
97.89,13,0.049080313,249.0195302
97.94,13,0.051107394,246.1255373
97.99,13,0.053158695,243.3173266
98.04,13,0.055227872,240.5979018
98.09,13,0.05730791,237.9703067
98.14,13,0.059391131,235.4376159
98.19,13,0.061469208,233.0029243
98.24,13,0.06353319,230.6693349
98.29,13,0.065573547,228.4399462
98.34,13,0.067580222,226.3178374
98.39,13,0.069542704,224.3060536
98.44,13,0.071450107,222.4075885
98.49,13,0.073291277,220.6253675
98.54,13,0.075054902,218.962229
98.59,13,0.076729639,217.4209058
98.64,13,0.078304255,216.0040057
98.69,13,0.079767775,214.7139917
98.74,13,0.081109633,213.5531634
98.79,13,0.082319833,212.5236377
98.84,13,0.083389105,211.6273308
98.89,13,0.084309054,210.8659416
98.94,13,0.085072305,210.2409358
98.99,13,0.085672631,209.7535327
99.04,13,0.086105065,209.4046931
99.09,13,0.086365991,209.1951101
99.14,13,0.086453212,209.1252024
99.19,13,0.086365991,209.1951101
99.24,13,0.086105065,209.4046931
99.29,13,0.085672631,209.7535327
99.34,13,0.085072305,210.2409358
99.39,13,0.084309054,210.8659416
99.44,13,0.083389105,211.6273308
99.49,13,0.082319833,212.5236377
99.54,13,0.081109633,213.5531634
99.59,13,0.079767775,214.7139917
99.64,13,0.078304255,216.0040057
99.69,13,0.076729639,217.4209058
99.74,13,0.075054902,218.962229
99.79,13,0.073291277,220.6253675
99.84,13,0.071450107,222.4075885
99.89,13,0.069542704,224.3060536
99.94,13,0.067580222,226.3178374
99.99,13,0.065573547,228.4399462
100.04,13,0.06353319,230.6693349
100.09,13,0.061469208,233.0029243
100.14,13,0.059391131,235.4376159
100.19,13,0.05730791,237.9703067
100.24,13,0.055227872,240.5979018
100.29,13,0.053158695,243.3173266
100.34,13,0.051107394,246.1255373
100.39,13,0.049080313,249.0195302
100.44,13,0.047083133,251.9963498
100.49,13,0.045120883,255.053096
100.54,13,0.043197961,258.1869301
100.59,13,0.041318159,261.3950795
100.64,13,0.039484695,264.6748418
100.69,13,0.037700242,268.0235882
100.74,13,0.035966969,271.4387653
100.79,13,0.034286571,274.9178976
100.84,13,0.032660313,278.4585879
100.89,13,0.031089063,282.0585178
100.94,13,0.029573331,285.7154483
100.99,13,0.028113305,289.4272187
101.04,13,0.026708883,293.1917463
101.09,13,0.025359707,297.0070249
97.14,13.05,0.025359194,297.008516
97.19,13.05,0.026744016,293.0950883
97.24,13.05,0.028189047,289.2297823
97.29,13.05,0.029695093,285.4145532
97.34,13.05,0.031262723,281.651436
97.39,13.05,0.032892237,277.9425473
97.44,13.05,0.034583631,274.2900869
97.49,13.05,0.036336554,270.6963391
97.54,13.05,0.03815027,267.163673
97.59,13.05,0.040023613,263.6945436
97.64,13.05,0.041954946,260.2914914
97.69,13.05,0.043942114,256.9571417
97.74,13.05,0.045982402,253.6942034
97.79,13.05,0.048072492,250.505467
97.84,13.05,0.050208422,247.3938017
97.89,13.05,0.052385547,244.3621519
97.94,13.05,0.054598508,241.413532
97.99,13.05,0.056841204,238.5510209
98.04,13.05,0.059106771,235.7777548
98.09,13.05,0.061387571,233.0969193
98.14,13.05,0.063675193,230.5117392
98.19,13.05,0.065960464,228.0254679
98.24,13.05,0.068233476,225.641375
98.29,13.05,0.070483625,223.3627324
98.34,13.05,0.072699674,221.192799
98.39,13.05,0.074869822,219.1348042
98.44,13.05,0.076981804,217.1919301
98.49,13.05,0.079023002,215.3672922
98.54,13.05,0.080980573,213.6639198
98.59,13.05,0.082841596,212.0847347
98.64,13.05,0.084593236,210.6325301
98.69,13.05,0.086222914,209.3099491
98.74,13.05,0.087718491,208.1194629
98.79,13.05,0.089068453,207.06335
98.84,13.05,0.090262096,206.1436755
98.89,13.05,0.091289713,205.3622725
98.94,13.05,0.092142758,204.7207244
98.99,13.05,0.092814007,204.2203491
99.04,13.05,0.09329769,203.8621863
99.09,13.05,0.093589605,203.6469863
99.14,13.05,0.093687196,203.5752024
99.19,13.05,0.093589605,203.6469863
99.24,13.05,0.09329769,203.8621863
99.29,13.05,0.092814007,204.2203491
99.34,13.05,0.092142758,204.7207244
99.39,13.05,0.091289713,205.3622725
99.44,13.05,0.090262096,206.1436755
99.49,13.05,0.089068453,207.06335
99.54,13.05,0.087718491,208.1194629
99.59,13.05,0.086222914,209.3099491
99.64,13.05,0.084593236,210.6325301
99.69,13.05,0.082841596,212.0847347
99.74,13.05,0.080980573,213.6639198
99.79,13.05,0.079023002,215.3672922
99.84,13.05,0.076981804,217.1919301
99.89,13.05,0.074869822,219.1348042
99.94,13.05,0.072699674,221.192799
99.99,13.05,0.070483625,223.3627324
100.04,13.05,0.068233476,225.641375
100.09,13.05,0.065960464,228.0254679
100.14,13.05,0.063675193,230.5117392
100.19,13.05,0.061387571,233.0969193
100.24,13.05,0.059106771,235.7777548
100.29,13.05,0.056841204,238.5510209
100.34,13.05,0.054598508,241.413532
100.39,13.05,0.052385547,244.3621519
100.44,13.05,0.050208422,247.3938017
100.49,13.05,0.048072492,250.505467
100.54,13.05,0.045982402,253.6942034
100.59,13.05,0.043942114,256.9571417
100.64,13.05,0.041954946,260.2914914
100.69,13.05,0.040023613,263.6945436
100.74,13.05,0.03815027,267.163673
100.79,13.05,0.036336554,270.6963391
100.84,13.05,0.034583631,274.2900869
100.89,13.05,0.032892237,277.9425473
100.94,13.05,0.031262723,281.651436
100.99,13.05,0.029695093,285.4145532
101.04,13.05,0.028189047,289.2297823
101.09,13.05,0.026744016,293.0950883
97.14,13.1,0.026705896,293.1999685
97.19,13.1,0.028186416,289.2366326
97.24,13.1,0.029733196,285.3206583
97.29,13.1,0.031347302,281.4540225
97.34,13.1,0.033029558,277.6387865
97.39,13.1,0.034780507,273.8770985
97.44,13.1,0.036600367,270.1711952
97.49,13.1,0.038488993,266.5234036
97.54,13.1,0.04044582,262.9361422
97.59,13.1,0.042469826,259.4119222
97.64,13.1,0.044559471,255.9533477
97.69,13.1,0.046712652,252.5631155
97.74,13.1,0.048926647,249.2440145
97.79,13.1,0.051198065,245.9989237
97.84,13.1,0.053522796,242.8308104
97.89,13.1,0.055895964,239.7427263
97.94,13.1,0.058311884,236.7378032
97.99,13.1,0.060764026,233.8192472
98.04,13.1,0.063244985,230.9903323
98.09,13.1,0.065746465,228.2543913
98.14,13.1,0.068259269,225.6148066
98.19,13.1,0.070773307,223.0749988
98.24,13.1,0.073277618,220.6384136
98.29,13.1,0.075760415,218.3085071
98.34,13.1,0.078209141,216.0887302
98.39,13.1,0.08061055,213.9825101
98.44,13.1,0.082950817,211.9932317
98.49,13.1,0.085215657,210.1242161
98.54,13.1,0.087390476,208.3786996
98.59,13.1,0.089460541,206.7598099
98.64,13.1,0.091411163,205.270543
98.69,13.1,0.093227905,203.913739
98.74,13.1,0.094896791,202.6920581
98.79,13.1,0.096404532,201.6079566
98.84,13.1,0.097738747,200.6636644
98.89,13.1,0.09888818,199.8611632
98.94,13.1,0.099842908,199.2021666
98.99,13.1,0.100594525,198.6881027
99.04,13.1,0.101136315,198.3200983
99.09,13.1,0.101463378,198.0989675
99.14,13.1,0.101572732,198.0252024
99.19,13.1,0.101463378,198.0989675
99.24,13.1,0.101136315,198.3200983
99.29,13.1,0.100594525,198.6881027
99.34,13.1,0.099842908,199.2021666
99.39,13.1,0.09888818,199.8611632
99.44,13.1,0.097738747,200.6636644
99.49,13.1,0.096404532,201.6079566
99.54,13.1,0.094896791,202.6920581
99.59,13.1,0.093227905,203.913739
99.64,13.1,0.091411163,205.270543
99.69,13.1,0.089460541,206.7598099
99.74,13.1,0.087390476,208.3786996
99.79,13.1,0.085215657,210.1242161
99.84,13.1,0.082950817,211.9932317
99.89,13.1,0.08061055,213.9825101
99.94,13.1,0.078209141,216.0887302
99.99,13.1,0.075760415,218.3085071
100.04,13.1,0.073277618,220.6384136
100.09,13.1,0.070773307,223.0749988
100.14,13.1,0.068259269,225.6148066
100.19,13.1,0.065746465,228.2543913
100.24,13.1,0.063244985,230.9903323
100.29,13.1,0.060764026,233.8192472
100.34,13.1,0.058311884,236.7378032
100.39,13.1,0.055895964,239.7427263
100.44,13.1,0.053522796,242.8308104
100.49,13.1,0.051198065,245.9989237
100.54,13.1,0.048926647,249.2440145
100.59,13.1,0.046712652,252.5631155
100.64,13.1,0.044559471,255.9533477
100.69,13.1,0.042469826,259.4119222
100.74,13.1,0.04044582,262.9361422
100.79,13.1,0.038488993,266.5234036
100.84,13.1,0.036600367,270.1711952
100.89,13.1,0.034780507,273.8770985
100.94,13.1,0.033029558,277.6387865
100.99,13.1,0.031347302,281.4540225
101.04,13.1,0.029733196,285.3206583
101.09,13.1,0.028186416,289.2366326
97.14,13.15,0.028105492,289.4476156
97.19,13.15,0.029687278,285.4338268
97.24,13.15,0.031341916,281.4665759
97.29,13.15,0.03307078,277.5478584
97.34,13.15,0.034874993,273.6797592
97.39,13.15,0.036755387,269.8644549
97.44,13.15,0.038712457,266.1042164
97.49,13.15,0.040746308,262.4014109
97.54,13.15,0.042856604,258.7585041
97.59,13.15,0.045042511,255.1780613
97.64,13.15,0.047302641,251.6627486
97.69,13.15,0.049634986,248.2153331
97.74,13.15,0.052036862,244.8386829
97.79,13.15,0.054504842,241.535766
97.84,13.15,0.057034701,238.3096482
97.89,13.15,0.059621354,235.1634901
97.94,13.15,0.062258803,232.1005434
97.99,13.15,0.064940089,229.1241453
98.04,13.15,0.067657252,226.2377116
98.09,13.15,0.070401304,223.444729
98.14,13.15,0.073162211,220.7487445
98.19,13.15,0.075928893,218.1533543
98.24,13.15,0.078689241,215.6621903
98.29,13.15,0.081430159,213.2789046
98.34,13.15,0.084137622,211.0071528
98.39,13.15,0.086796765,208.8505743
98.44,13.15,0.089391996,206.8127724
98.49,13.15,0.091907137,204.8972907
98.54,13.15,0.09432559,203.1075902
98.59,13.15,0.096630532,201.4470233
98.64,13.15,0.098805134,199.9188078
98.69,13.15,0.100832794,198.5260001
98.74,13.15,0.102697396,197.2714685
98.79,13.15,0.104383568,196.1578659
98.84,13.15,0.105876956,195.1876045
98.89,13.15,0.107164477,194.362831
98.94,13.15,0.108234576,193.685404
98.99,13.15,0.109077453,193.1568738
99.04,13.15,0.109685261,192.778465
99.09,13.15,0.110052271,192.5510628
99.14,13.15,0.110174998,192.4752024
99.19,13.15,0.110052271,192.5510628
99.24,13.15,0.109685261,192.778465
99.29,13.15,0.109077453,193.1568738
99.34,13.15,0.108234576,193.685404
99.39,13.15,0.107164477,194.362831
99.44,13.15,0.105876956,195.1876045
99.49,13.15,0.104383568,196.1578659
99.54,13.15,0.102697396,197.2714685
99.59,13.15,0.100832794,198.5260001
99.64,13.15,0.098805134,199.9188078
99.69,13.15,0.096630532,201.4470233
99.74,13.15,0.09432559,203.1075902
99.79,13.15,0.091907137,204.8972907
99.84,13.15,0.089391996,206.8127724
99.89,13.15,0.086796765,208.8505743
99.94,13.15,0.084137622,211.0071528
99.99,13.15,0.081430159,213.2789046
100.04,13.15,0.078689241,215.6621903
100.09,13.15,0.075928893,218.1533543
100.14,13.15,0.073162211,220.7487445
100.19,13.15,0.070401304,223.444729
100.24,13.15,0.067657252,226.2377116
100.29,13.15,0.064940089,229.1241453
100.34,13.15,0.062258803,232.1005434
100.39,13.15,0.059621354,235.1634901
100.44,13.15,0.057034701,238.3096482
100.49,13.15,0.054504842,241.535766
100.54,13.15,0.052036862,244.8386829
100.59,13.15,0.049634986,248.2153331
100.64,13.15,0.047302641,251.6627486
100.69,13.15,0.045042511,255.1780613
100.74,13.15,0.042856604,258.7585041
100.79,13.15,0.040746308,262.4014109
100.84,13.15,0.038712457,266.1042164
100.89,13.15,0.036755387,269.8644549
100.94,13.15,0.034874993,273.6797592
100.99,13.15,0.03307078,277.5478584
101.04,13.15,0.031341916,281.4665759
101.09,13.15,0.029687278,285.4338268
97.14,13.2,0.029557901,285.753671
97.19,13.2,0.031246688,281.6889248
97.24,13.2,0.033015498,277.6698271
97.29,13.2,0.034866062,273.6983889
97.34,13.2,0.036799855,269.776715
97.39,13.2,0.038818056,265.9070072
97.44,13.2,0.04092149,262.0915673
97.49,13.2,0.043110574,258.3327998
97.54,13.2,0.04538526,254.6332146
97.59,13.2,0.047744964,250.9954285
97.64,13.2,0.050188506,247.4221675
97.69,13.2,0.052714034,243.9162673
97.74,13.2,0.055318954,240.4806741
97.79,13.2,0.057999856,237.1184438
97.84,13.2,0.060752441,233.8327412
97.89,13.2,0.06357145,230.6268371
97.94,13.2,0.066450594,227.504105
97.99,13.2,0.069382497,224.4680161
98.04,13.2,0.072358637,221.5221329
98.09,13.2,0.075369307,218.6701012
98.14,13.2,0.078403589,215.91564
98.19,13.2,0.081449339,213.26253
98.24,13.2,0.084493199,210.7145995
98.29,13.2,0.087520635,208.2757088
98.34,13.2,0.090515991,205.9497316
98.39,13.2,0.093462588,203.7405353
98.44,13.2,0.096342839,201.6519579
98.49,13.2,0.099138412,199.6877843
98.54,13.2,0.101830413,197.8517195
98.59,13.2,0.104399615,196.1473612
98.64,13.2,0.106826703,194.5781703
98.69,13.2,0.109092559,193.1474413
98.74,13.2,0.111178559,191.8582718
98.79,13.2,0.113066888,190.7135325
98.84,13.2,0.114740858,189.715838
98.89,13.2,0.116185229,188.8675185
98.94,13.2,0.117386509,188.1705944
98.99,13.2,0.118333235,187.6267525
99.04,13.2,0.119016214,187.237327
99.09,13.2,0.119428732,187.0032824
99.14,13.2,0.119566696,186.9252024
99.19,13.2,0.119428732,187.0032824
99.24,13.2,0.119016214,187.237327
99.29,13.2,0.118333235,187.6267525
99.34,13.2,0.117386509,188.1705944
99.39,13.2,0.116185229,188.8675185
99.44,13.2,0.114740858,189.715838
99.49,13.2,0.113066888,190.7135325
99.54,13.2,0.111178559,191.8582718
99.59,13.2,0.109092559,193.1474413
99.64,13.2,0.106826703,194.5781703
99.69,13.2,0.104399615,196.1473612
99.74,13.2,0.101830413,197.8517195
99.79,13.2,0.099138412,199.6877843
99.84,13.2,0.096342839,201.6519579
99.89,13.2,0.093462588,203.7405353
99.94,13.2,0.090515991,205.9497316
99.99,13.2,0.087520635,208.2757088
100.04,13.2,0.084493199,210.7145995
100.09,13.2,0.081449339,213.26253
100.14,13.2,0.078403589,215.91564
100.19,13.2,0.075369307,218.6701012
100.24,13.2,0.072358637,221.5221329
100.29,13.2,0.069382497,224.4680161
100.34,13.2,0.066450594,227.504105
100.39,13.2,0.06357145,230.6268371
100.44,13.2,0.060752441,233.8327412
100.49,13.2,0.057999856,237.1184438
100.54,13.2,0.055318954,240.4806741
100.59,13.2,0.052714034,243.9162673
100.64,13.2,0.050188506,247.4221675
100.69,13.2,0.047744964,250.9954285
100.74,13.2,0.04538526,254.6332146
100.79,13.2,0.043110574,258.3327998
100.84,13.2,0.04092149,262.0915673
100.89,13.2,0.038818056,265.9070072
100.94,13.2,0.036799855,269.776715
100.99,13.2,0.034866062,273.6983889
101.04,13.2,0.033015498,277.6698271
101.09,13.2,0.031246688,281.6889248
97.14,13.25,0.03106274,282.1204292
97.19,13.25,0.032864408,278.0042667
97.24,13.25,0.034753887,273.9327961
97.29,13.25,0.036733319,269.9080398
97.34,13.25,0.038804593,265.9321188
97.39,13.25,0.040969294,262.0072564
97.44,13.25,0.043228647,258.1357815
97.49,13.25,0.045583448,254.3201324
97.54,13.25,0.048034005,250.5628593
97.59,13.25,0.050580058,246.8666278
97.64,13.25,0.053220705,243.2342207
97.69,13.25,0.055954321,239.6685398
97.74,13.25,0.058778471,236.1726076
97.79,13.25,0.061689825,232.7495669
97.84,13.25,0.064684067,229.4026808
97.89,13.25,0.067755812,226.1353305
97.94,13.25,0.070898521,222.9510129
97.99,13.25,0.074104418,219.853336
98.04,13.25,0.077364426,216.8460127
98.09,13.25,0.080668105,213.9328536
98.14,13.25,0.084003607,211.1177567
98.19,13.25,0.087357656,208.4046958
98.24,13.25,0.090715544,205.7977065
98.29,13.25,0.094061159,203.3008693
98.34,13.25,0.097377041,200.918291
98.39,13.25,0.10064448,198.6540827
98.44,13.25,0.10384364,196.5123359
98.49,13.25,0.106953738,194.4970964
98.54,13.25,0.109953253,192.6123349
98.59,13.25,0.11282018,190.861917
98.64,13.25,0.115532325,189.2495702
98.69,13.25,0.118067632,187.7788514
98.74,13.25,0.120404536,186.4531119
98.79,13.25,0.12252234,185.275464
98.84,13.25,0.124401603,184.2487474
98.89,13.25,0.126024518,183.3754972
98.94,13.25,0.127375287,182.6579146
98.99,13.25,0.12844046,182.0978398
99.04,13.25,0.129209238,181.6967294
99.09,13.25,0.129673719,181.4556376
99.14,13.25,0.129829085,181.3752024
99.19,13.25,0.129673719,181.4556376
99.24,13.25,0.129209238,181.6967294
99.29,13.25,0.12844046,182.0978398
99.34,13.25,0.127375287,182.6579146
99.39,13.25,0.126024518,183.3754972
99.44,13.25,0.124401603,184.2487474
99.49,13.25,0.12252234,185.275464
99.54,13.25,0.120404536,186.4531119
99.59,13.25,0.118067632,187.7788514
99.64,13.25,0.115532325,189.2495702
99.69,13.25,0.11282018,190.861917
99.74,13.25,0.109953253,192.6123349
99.79,13.25,0.106953738,194.4970964
99.84,13.25,0.10384364,196.5123359
99.89,13.25,0.10064448,198.6540827
99.94,13.25,0.097377041,200.918291
99.99,13.25,0.094061159,203.3008693
100.04,13.25,0.090715544,205.7977065
100.09,13.25,0.087357656,208.4046958
100.14,13.25,0.084003607,211.1177567
100.19,13.25,0.080668105,213.9328536
100.24,13.25,0.077364426,216.8460127
100.29,13.25,0.074104418,219.853336
100.34,13.25,0.070898521,222.9510129
100.39,13.25,0.067755812,226.1353305
100.44,13.25,0.064684067,229.4026808
100.49,13.25,0.061689825,232.7495669
100.54,13.25,0.058778471,236.1726076
100.59,13.25,0.055954321,239.6685398
100.64,13.25,0.053220705,243.2342207
100.69,13.25,0.050580058,246.8666278
100.74,13.25,0.048034005,250.5628593
100.79,13.25,0.045583448,254.3201324
100.84,13.25,0.043228647,258.1357815
100.89,13.25,0.040969294,262.0072564
100.94,13.25,0.038804593,265.9321188
100.99,13.25,0.036733319,269.9080398
101.04,13.25,0.034753887,273.9327961
101.09,13.25,0.032864408,278.0042667
97.14,13.3,0.032619288,278.5502657
97.19,13.3,0.034539841,274.3822797
97.24,13.3,0.036556642,270.2579601
97.29,13.3,0.038672312,266.1793367
97.34,13.3,0.040889218,262.1485423
97.39,13.3,0.043209425,258.1678173
97.44,13.3,0.045634628,254.2395135
97.49,13.3,0.048166087,250.3660985
97.54,13.3,0.050804543,246.5501591
97.59,13.3,0.053550146,242.7944055
97.64,13.3,0.056402359,239.1016739
97.69,13.3,0.059359867,235.474929
97.74,13.3,0.062420478,231.9172668
97.79,13.3,0.065581021,228.431915
97.84,13.3,0.068837241,225.0222336
97.89,13.3,0.072183692,221.6917142
97.94,13.3,0.075613636,218.4439776
97.99,13.3,0.07911894,215.2827704
98.04,13.3,0.082689991,212.2119596
98.09,13.3,0.086315609,209.2355253
98.14,13.3,0.08998299,206.3575513
98.19,13.3,0.09367766,203.5822134
98.24,13.3,0.097383458,200.9137649
98.29,13.3,0.101082555,198.3565197
98.34,13.3,0.104755499,195.9148325
98.39,13.3,0.108381311,193.5930757
98.44,13.3,0.111937623,191.3956139
98.49,13.3,0.115400868,189.3267751
98.54,13.3,0.11874651,187.3908194
98.59,13.3,0.121949346,185.5919052
98.64,13.3,0.124983832,183.9340536
98.69,13.3,0.127824478,182.4211106
98.74,13.3,0.130446264,181.0567086
98.79,13.3,0.132825089,179.8442287
98.84,13.3,0.13493824,178.7867617
98.89,13.3,0.136764856,177.887072
98.94,13.3,0.138286382,177.1475636
98.99,13.3,0.139486986,176.5702491
99.04,13.3,0.140353936,176.1567233
99.09,13.3,0.140877904,175.9081412
99.14,13.3,0.141053198,175.8252024
99.19,13.3,0.140877904,175.9081412
99.24,13.3,0.140353936,176.1567233
99.29,13.3,0.139486986,176.5702491
99.34,13.3,0.138286382,177.1475636
99.39,13.3,0.136764856,177.887072
99.44,13.3,0.13493824,178.7867617
99.49,13.3,0.132825089,179.8442287
99.54,13.3,0.130446264,181.0567086
99.59,13.3,0.127824478,182.4211106
99.64,13.3,0.124983832,183.9340536
99.69,13.3,0.121949346,185.5919052
99.74,13.3,0.11874651,187.3908194
99.79,13.3,0.115400868,189.3267751
99.84,13.3,0.111937623,191.3956139
99.89,13.3,0.108381311,193.5930757
99.94,13.3,0.104755499,195.9148325
99.99,13.3,0.101082555,198.3565197
100.04,13.3,0.097383458,200.9137649
100.09,13.3,0.09367766,203.5822134
